1697188975: mosquitto version 2.0.18 starting
1697188975: Config loaded from /mosquitto/config/mosquitto.conf.
1697188975: Opening ipv4 listen socket on port 1883.
1697188975: mosquitto version 2.0.18 running
1697190775: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697192576: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697194377: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697196178: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697197979: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697199780: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697201581: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697203382: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697205183: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697206984: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697208785: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697210586: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697212387: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697214188: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697215989: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697217790: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697219591: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697221392: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697223193: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697224994: Saving in-memory database to /mosquitto/data//mosquitto.db.
1697226351: mosquitto version 2.0.18 terminating
1697226351: Saving in-memory database to /mosquitto/data//mosquitto.db.
